 Rank | Team                           | Score      | Uncertainty
------|--------------------------------|------------|------------
    1 | Mississippi State         |  20.772700 |   0.216075
    2 | Florida State             |  27.834400 |   0.343480
    3 | Oregon                    |  30.186100 |   0.264786
    4 | Auburn                    |  31.057000 |   0.280664
    5 | Alabama                   |  31.085100 |   0.296295
    6 | Ohio State                |  31.788600 |   0.309830
    7 | Notre Dame                |  31.873200 |   0.340136
    8 | LSU                       |  32.046300 |   0.265673
    9 | Arizona State             |  32.872200 |   0.244744
   10 | Marshall                  |  33.734000 |   0.330042
   11 | TCU                       |  34.913200 |   0.337752
   12 | Nebraska                  |  34.931100 |   0.297541
   13 | Mississippi               |  35.365200 |   0.261174
   14 | UCLA                      |  35.492200 |   0.241315
   15 | Michigan State            |  36.261900 |   0.323514
   16 | Colorado State            |  36.701000 |   0.319964
   17 | Arizona                   |  38.106600 |   0.258115
   18 | Kansas State              |  38.985400 |   0.324965
   19 | Duke                      |  39.760200 |   0.293649
   20 | Missouri                  |  41.525800 |   0.288704
   21 | Clemson                   |  41.720100 |   0.289714
   22 | Baylor                    |  42.748300 |   0.249191
   23 | Boise State               |  43.554000 |   0.313658
   24 | USC                       |  43.707400 |   0.231467
   25 | Oklahoma                  |  44.283400 |   0.305484
   26 | West Virginia             |  44.347800 |   0.296135
   27 | Wisconsin                 |  44.819500 |   0.291284
   28 | Texas A&M                 |  46.347700 |   0.347404
   29 | Utah                      |  46.584300 |   0.298847
   30 | Miami (Fla.)              |  46.848800 |   0.310232
   31 | Georgia Tech              |  47.849200 |   0.297293
   32 | Georgia                   |  47.913300 |   0.286373
   33 | Maryland                  |  48.806600 |   0.275978
   34 | Washington                |  49.571000 |   0.296624
   35 | Air Force                 |  49.963500 |   0.349965
   36 | Stanford                  |  50.323000 |   0.259752
   37 | Minnesota                 |  50.462100 |   0.360248
   38 | Boston College            |  50.623300 |   0.362167
   39 | Nevada                    |  51.189800 |   0.275605
   40 | Georgia Southern          |  51.253700 |   0.362689
   41 | Louisiana-Lafayette       |  51.373800 |   0.317234
   42 | East Carolina             |  51.618700 |   0.339043
   43 | Kentucky                  |  52.026500 |   0.314292
   44 | Iowa                      |  52.073500 |   0.306186
   45 | Utah State                |  52.855700 |   0.297910
   46 | Houston                   |  54.104900 |   0.353574
   47 | Florida                   |  54.159300 |   0.311005
   48 | Louisville                |  54.212600 |   0.339236
   49 | California                |  54.711700 |   0.284670
   50 | Rice                      |  56.411200 |   0.403341
