 Rank | Team                           | Score      | Uncertainty
------|--------------------------------|------------|------------
    1 | Mississippi State         |  19.913100 |   0.231963
    2 | Florida State             |  25.951100 |   0.299043
    3 | Alabama                   |  26.231900 |   0.236776
    4 | Oregon                    |  26.782900 |   0.224501
    5 | Ohio State                |  27.493100 |   0.209864
    6 | Arizona State             |  28.014500 |   0.231624
    7 | TCU                       |  29.772400 |   0.225889
    8 | UCLA                      |  32.023300 |   0.196237
    9 | Marshall                  |  32.848200 |   0.304892
   10 | Nebraska                  |  34.017900 |   0.316228
   11 | LSU                       |  34.053900 |   0.291008
   12 | Mississippi               |  34.548300 |   0.250012
   13 | Notre Dame                |  35.326800 |   0.241801
   14 | Colorado State            |  35.809300 |   0.293539
   15 | Auburn                    |  35.881800 |   0.285056
   16 | Arizona                   |  36.325300 |   0.305581
   17 | Duke                      |  37.462900 |   0.304960
   18 | Baylor                    |  37.679700 |   0.276436
   19 | Texas A&M                 |  38.713700 |   0.311455
   20 | Michigan State            |  39.366400 |   0.259998
   21 | Clemson                   |  40.241400 |   0.326173
   22 | Missouri                  |  40.819700 |   0.320441
   23 | Boise State               |  41.351300 |   0.291202
   24 | Kansas State              |  41.670200 |   0.326849
   25 | Wisconsin                 |  41.915500 |   0.278784
   26 | Georgia                   |  43.020000 |   0.323137
   27 | USC                       |  43.352000 |   0.254020
   28 | Georgia Tech              |  44.339000 |   0.221394
   29 | Minnesota                 |  44.653300 |   0.308531
   30 | Miami (Fla.)              |  46.691400 |   0.342611
   31 | Georgia Southern          |  47.029100 |   0.436139
   32 | Oklahoma                  |  47.815000 |   0.343367
   33 | Utah                      |  47.866700 |   0.326732
   34 | Maryland                  |  48.004600 |   0.275864
   35 | Utah State                |  48.460000 |   0.309043
   36 | Air Force                 |  48.480300 |   0.344946
   37 | Louisville                |  48.875400 |   0.377099
   38 | West Virginia             |  50.236100 |   0.281864
   39 | Stanford                  |  50.339000 |   0.306202
   40 | Louisiana-Lafayette       |  50.701800 |   0.307010
   41 | Nevada                    |  50.999300 |   0.331392
   42 | East Carolina             |  51.003600 |   0.308861
   43 | Florida                   |  51.046300 |   0.304769
   44 | Washington                |  51.136300 |   0.299234
   45 | Arkansas State            |  53.718900 |   0.331389
   46 | California                |  54.010300 |   0.345364
   47 | Memphis                   |  54.202200 |   0.303940
   48 | Kentucky                  |  54.777500 |   0.289131
   49 | Rice                      |  55.362800 |   0.313973
   50 | Boston College            |  55.515600 |   0.317907
   51 | Texas                     |  55.799400 |   0.266258
   52 | Iowa                      |  55.946800 |   0.302098
   53 | Rutgers                   |  56.390600 |   0.349536
   54 | BYU                       |  56.456500 |   0.302084
   55 | Northern Illinois         |  57.227200 |   0.282901
   56 | Michigan                  |  57.324300 |   0.285896
   57 | Bowling Green             |  58.253700 |   0.323263
   58 | Penn State                |  58.704400 |   0.285333
   59 | Arkansas                  |  59.218700 |   0.332174
   60 | Middle Tennessee          |  59.324700 |   0.278517
   61 | Cincinnati                |  59.414000 |   0.411027
   62 | UCF                       |  59.626600 |   0.339260
   63 | Western Michigan          |  60.117300 |   0.339276
   64 | Temple                    |  61.503500 |   0.331425
   65 | Oklahoma State            |  61.856700 |   0.311231
   66 | Tennessee                 |  62.183100 |   0.334261
   67 | North Carolina            |  62.312000 |   0.271507
   68 | Illinois                  |  62.737400 |   0.324858
   69 | Houston                   |  62.771100 |   0.326766
   70 | North Carolina State      |  64.047300 |   0.350795
   71 | San Diego State           |  65.059800 |   0.282042
   72 | Texas State               |  65.257500 |   0.308064
   73 | South Alabama             |  66.327300 |   0.309510
   74 | Navy                      |  66.612700 |   0.319572
   75 | Ohio                      |  67.169800 |   0.342652
   76 | South Carolina            |  67.581100 |   0.382513
   77 | Virginia                  |  68.206300 |   0.308322
   78 | Virginia Tech             |  69.079200 |   0.297670
   79 | Oregon State              |  69.344300 |   0.260916
   80 | Pittsburgh                |  69.658200 |   0.403084
   81 | Wyoming                   |  70.455400 |   0.375548
   82 | Central Michigan          |  71.558200 |   0.252447
   83 | Northwestern              |  71.564000 |   0.284057
   84 | Washington State          |  72.070300 |   0.312456
   85 | UTEP                      |  72.770900 |   0.282572
   86 | Purdue                    |  72.979100 |   0.315196
   87 | Western Kentucky          |  73.205400 |   0.228816
   88 | Tulane                    |  73.366000 |   0.348581
   89 | Toledo                    |  73.512900 |   0.307723
   90 | Indiana                   |  75.105800 |   0.325829
   91 | Syracuse                  |  75.353800 |   0.293116
   92 | UAB                       |  76.355400 |   0.212251
   93 | New Mexico                |  77.550100 |   0.267289
   94 | Texas Tech                |  78.337800 |   0.327669
   95 | Vanderbilt                |  78.593400 |   0.422626
   96 | San Jose State            |  79.289400 |   0.430034
   97 | South Florida             |  79.630100 |   0.318110
   98 | Army                      |  79.651700 |   0.281155
   99 | Colorado                  |  79.778900 |   0.312701
  100 | North Texas               |  80.963200 |   0.321068
  101 | Akron                     |  81.564000 |   0.310811
  102 | Fresno State              |  82.414400 |   0.308176
  103 | Kansas                    |  82.930000 |   0.367671
  104 | Old Dominion              |  83.208400 |   0.344163
  105 | Florida Atlantic          |  84.805700 |   0.223826
  106 | Louisiana-Monroe          |  84.972600 |   0.287842
  107 | Wake Forest               |  85.130400 |   0.316040
  108 | Connecticut               |  85.342300 |   0.236067
  109 | Tulsa                     |  86.385800 |   0.274508
  110 | Hawaii                    |  86.416700 |   0.267150
  111 | Southern Miss             |  86.781300 |   0.241969
  112 | Louisiana Tech            |  87.573300 |   0.131007
  113 | Eastern Michigan          |  90.712900 |   0.324410
  114 | Buffalo                   |  90.838300 |   0.413013
  115 | UNLV                      |  91.082700 |   0.264266
  116 | Idaho                     |  92.076800 |   0.285332
  117 | Massachusetts             |  93.419900 |   0.214012
  118 | UTSA                      |  94.731200 |   0.254521
  119 | SMU                       |  96.624200 |   0.272163
  120 | Kent State                |  99.368400 |   0.169751
  121 | New Mexico State          | 100.290600 |   0.246179
  122 | Ball State                | 106.273300 |   0.105189
  123 | Georgia State             | 106.733500 |   0.175894
  124 | Appalachian State         | 107.386300 |   0.094600
  125 | Florida International     | 116.352000 |   0.074739
  126 | Iowa State                | 116.480400 |   0.070569
  127 | Miami (Ohio)              | 116.623600 |   0.061733
  128 | Troy                      | 118.026600 |   0.066877
