 Rank | Team                           | Score      | Uncertainty
------|--------------------------------|------------|------------
    1 | Arizona                   |  50.863400 |   0.398101
    2 | Oklahoma                  |  50.973100 |   0.329751
    3 | Mississippi State         |  50.997600 |   0.288286
    4 | Penn State                |  51.006500 |   0.363724
    5 | Notre Dame                |  51.085300 |   0.384085
    6 | BYU                       |  51.140700 |   0.315299
    7 | UCLA                      |  51.377600 |   0.331646
    8 | Tennessee                 |  51.477400 |   0.341978
    9 | Auburn                    |  51.492800 |   0.302747
   10 | North Carolina State      |  51.575300 |   0.349670
   11 | Louisiana-Monroe          |  51.590700 |   0.303765
   12 | USC                       |  51.665800 |   0.323930
   13 | Mississippi               |  51.846400 |   0.405544
   14 | Alabama                   |  52.342900 |   0.297192
   15 | Illinois                  |  55.528700 |   0.298116
   16 | Kentucky                  |  55.835500 |   0.364289
   17 | Virginia Tech             |  55.908700 |   0.304087
   18 | Florida                   |  55.929200 |   0.358842
   19 | Wyoming                   |  55.939300 |   0.335844
   20 | Minnesota                 |  55.965200 |   0.326677
   21 | North Carolina            |  56.143400 |   0.388378
   22 | Rutgers                   |  56.163000 |   0.359133
   23 | Baylor                    |  56.228800 |   0.412294
   24 | Texas A&M                 |  56.284300 |   0.366765
   25 | New Mexico State          |  56.296200 |   0.359940
   26 | Army                      |  56.310700 |   0.321059
   27 | Missouri                  |  56.311300 |   0.366498
   28 | Central Michigan          |  56.343600 |   0.351471
   29 | Louisville                |  56.547900 |   0.353959
   30 | Marshall                  |  56.550100 |   0.353173
   31 | Oregon                    |  56.567000 |   0.387576
   32 | Washington                |  56.585300 |   0.429614
   33 | LSU                       |  56.782200 |   0.395299
   34 | Maryland                  |  56.792700 |   0.362245
   35 | Florida State             |  56.869200 |   0.327847
   36 | California                |  56.878100 |   0.366384
   37 | Utah                      |  56.890600 |   0.449320
   38 | UTEP                      |  56.913300 |   0.357889
   39 | Pittsburgh                |  56.924800 |   0.363752
   40 | Nebraska                  |  56.932000 |   0.392750
   41 | Georgia                   |  56.939700 |   0.338084
   42 | Oregon State              |  57.060300 |   0.310501
   43 | Arizona State             |  57.060700 |   0.372479
   44 | South Alabama             |  57.194400 |   0.439102
   45 | Georgia Tech              |  57.265700 |   0.398992
   46 | Duke                      |  57.278000 |   0.363259
   47 | Northern Illinois         |  57.404800 |   0.346170
   48 | Iowa                      |  57.484100 |   0.451251
   49 | Nevada                    |  57.804400 |   0.375776
   50 | Boise State               |  60.646900 |   0.363947
   51 | Kansas                    |  61.076500 |   0.422431
   52 | Tulsa                     |  61.207900 |   0.312563
   53 | Louisiana Tech            |  61.221800 |   0.296435
   54 | Navy                      |  61.269600 |   0.331936
   55 | Michigan                  |  61.389600 |   0.349839
   56 | UAB                       |  61.421300 |   0.346783
   57 | TCU                       |  61.702500 |   0.402001
   58 | South Carolina            |  61.714800 |   0.340761
   59 | Colorado                  |  61.740700 |   0.308027
   60 | Texas State               |  61.789000 |   0.355010
   61 | UTSA                      |  61.929000 |   0.313398
   62 | Texas Tech                |  61.957900 |   0.418188
   63 | Texas                     |  62.268100 |   0.315360
   64 | North Texas               |  62.361100 |   0.341045
   65 | Kansas State              |  62.380100 |   0.413628
   66 | Boston College            |  62.413300 |   0.302819
   67 | Western Kentucky          |  62.693200 |   0.355379
   68 | Syracuse                  |  62.710800 |   0.427765
   69 | Purdue                    |  62.960100 |   0.270807
   70 | Ohio State                |  62.984000 |   0.344753
   71 | Indiana                   |  62.988800 |   0.381993
   72 | Cincinnati                |  63.049800 |   0.407143
   73 | Ohio                      |  63.253500 |   0.347956
   74 | Colorado State            |  63.348100 |   0.279588
   75 | Temple                    |  63.605900 |   0.306538
   76 | Arkansas State            |  66.543900 |   0.320820
